Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Screens,Budget,Revenue,Profit_Factor,Year,Duration,Rating,Votes
Gafla,Holiday,No,No,drama,No,Yes,Yes,Vinod Sherawat,Sameer Hanchate,Kartik Shah,25,12500000,1600000,0.128,2006,127,7.2,454
Janleva 555,Holiday,No,No,thriller,No,Yes,Yes,Kalpana Pandit,Sandeep Malani,Mike Paul Hughes,70,20000000,2550000,0.1275,2012,140,4.2,20
Lahore,Normal,No,No,drama,No,Yes,No,Farooque Shaikh,Sanjay Puran Singh Chauhan,M.M. Kreem,325,95000000,12100000,0.127368421,2010,145,6.3,514
Paapi - Ek Satya Katha,Holiday,No,No,drama,No,No,No,Arya Babbar,Aziz Sejawal,Anand - Milind,200,15000000,1875000,0.125,2013,115,3.8,27
Marigold,Holiday,No,No,rom__com,No,Yes,No,Salman Khan,Willard Carroll,Shankar - Ehsaan - Loy,160,190000000,22950000,0.120789474,2007,110,4.8,1890
Kaagaz Ke Fools,Normal,No,No,comedy,No,Yes,Yes,Vinay Pathak,Anil Chaudhary,Sangeeta Pant,300,40000000,4800000,0.12,2015,109,3.9,136
Ek Haseena Thi Ek Deewana Tha,Normal,No,No,love_story,No,No,No,Shiv Darshan,Suneel Darshan,Nadeem Saifi,725,140000000,16700000,0.119285714,2017,105,2.5,104
Showbiz,Holiday,No,No,drama,Yes,Yes,Yes,Tushar Jalota,Raju Khan,Lalit Pandit,100,42500000,5000000,0.117647059,2007,108,3.6,114
Jal,Normal,No,No,drama,No,Yes,No,Purab Kohli,Girish Malik,Bikram Ghosh,275,60000000,7000000,0.116666667,2013,126,6.7,454
Machine,Normal,No,No,thriller,Yes,No,Yes,Mustafa Burmawalla,Abbas - Mustan,Tanishk,1600,300000000,34847500,0.116158333,2017,148,2.7,761
Raqt,Normal,No,No,drama,Yes,Yes,No,Shweta Bhardwaj,Adi Irani,Daboo Malik,200,25000000,2900000,0.116,2013,180,4.3,6
Khuda Kasam,Normal,No,No,action,No,No,No,Sunny Deol,K.C. Bokadia,Aadesh Shrivastava,125,90000000,10400000,0.115555556,2010,160,3.2,100
Mod,Normal,No,No,love_story,No,No,No,Ayesha Takia,Nagesh Kukunoor,Tapas Relia,225,55000000,6325000,0.115,2011,100,6.5,399
Umar,Normal,No,No,drama,No,No,No,Jimmy Shergill,Karan Razdan,Shamir Tandon,55,35000000,4001000,0.114314286,2006,135,5.5,68
Uvaa,Normal,No,No,drama,No,Yes,No,Om Puri,Jasbir Bhaati,Hanif Sheikh,200,25000000,2850000,0.114,2015,138,4.9,151
Anubhav,Normal,No,No,drama,No,Yes,No,Sanjay Suri,Rajiv Nath,Aadesh Shrivastava,85,20000000,2275000,0.11375,1971,139,6.7,137
Zokkomon,Holiday,No,No,fantasy,No,Yes,No,Darsheel Safary,Satyajit Bhatkal,Shankar - Ehsaan - Loy,350,100000000,11300000,0.113,2011,109,4.0,351
Striker,Holiday,No,No,drama,No,No,Yes,Siddharth,Chandan Arora,Shailendra Barve,200,110000000,12300000,0.111818182,2010,128,6.9,1014
Allah Ke Banday,Normal,No,No,action,No,Yes,No,Sharman Joshi,Faruk Kabir,Chirantan Bhatt,300,90000000,10000000,0.111111111,2010,123,6.1,303
Ankur Arora Murder Case,Normal,No,No,thriller,No,No,Yes,Kay Kay Menon,Suhail Tatari,Inder Bawra,300,75000000,8200000,0.109333333,2013,129,6.5,1823
Amit Sahni Ki List,Normal,No,No,rom__com,No,Yes,No,Vir Das,Ajay Bhuyan,Raghu Dixit,450,70000000,7600000,0.108571429,2014,110,5.4,347
Rajjo,Holiday,No,No,drama,No,Yes,No,Kangana Ranaut,Vishwas Patil,Uttam Singh,425,110000000,11900000,0.108181818,2013,123,2.3,436
My Husband's Wife,Normal,No,No,drama,Yes,No,Yes,Rakhi Vohra,Vinod Chhabra,Dinesh Arjuna,5,6500000,700000,0.107692308,2010,122,3.1,8
Heartless,Normal,No,No,thriller,No,Yes,No,Adhyayan Suman,Shekhar Suman,Gaurav Dagaonkar,400,110000000,11800000,0.107272727,2014,131,5.1,458
Delhi In A Day,Normal,No,No,drama,Yes,Yes,Yes,Lee Williiams,Prashant Nair,Mathias Duplessy,15,7500000,800000,0.106666667,2011,88,6.2,395
Chand Ke Paar Chalo,Normal,No,No,love_story,Yes,No,Yes,Saahib,Mustafa Engineer,Vishnu Narayan,30,27500000,2900000,0.105454546,2006,169,6.7,35
